bucket,display_name,sku_name,family,factor_to_plancha,marked_x
TIPO_A,Plancha de 30 Tipo A,PLANCHA 12 HUEVOS TIPO A COD.7848000130036,Tipo A,0.4,True
PICADO,PLANCHA 30 HUEVOS PICADO,PLANCHA 30 HUEVOS PICADO,Picado,1.0,False
SUPER,PLANCHA 30 SUPER,PLANCHA 30 SUPER GRANEL,Super,1.0,False
TIPO_B,PLANCHA 30 TIPO B,PLANCHA 30 TIPO B COD. 7848000130081,Tipo B,1.0,False
TIPO_A,Plancha de 30 Tipo A,PLANCHA 6 HUEVOS TIPO A COD. 7848000130043,Tipo A,0.2,True
TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Tipo A,1.0,True
TIPO_A,Plancha de 30 Tipo A,PLANCHAS 20 HUEVOS TIPO A COD.7848000130074,Tipo A,0.6666666666666666,True
JUMBO,PLANCHAS 30 JUMBO,PLANCHAS 30 JUMBO,Jumbo,1.0,False
SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,Super,1.0,False
TIPO_A,Plancha de 30 Tipo A,PLANCHAS 30 TIPO A GRANEL,Tipo A,1.0,False
TIPO_C,PLANCHAS TIPO C,PLANCHAS TIPO C,Tipo C,1.0,False
SUCIOS,Sucios,HUEVOS SUCIOS,Sucios,1.0,False
ROTOS,Rotos,ROTOS,Rotos,1.0,False
