bucket,display_name,stock_inicial_planchas,ajuste_salida_manual_planchas,entradas_planchas,salidas_planchas,stock_actual_planchas
TIPO_A,Plancha de 30 Tipo A,327.0,-83.4666,513.0,599.0,241.0
SUPER,PLANCHA 30 SUPER,45.0,-52.0,42.0,33.0,54.0
TIPO_B,PLANCHA 30 TIPO B,55.0,-2268.22,88.0,-67.22,210.22
JUMBO,PLANCHAS 30 JUMBO,17.0,-3.22,0.0,1.78,15.22
TIPO_C,PLANCHAS TIPO C,1.0,-7.0,1.0,-7.0,9.0
PICADO,PLANCHA 30 HUEVOS PICADO,25.0,26.1667,6.8667,26.1667,5.7
SUCIOS,Sucios,285.0,-38.2333,3.6667,-38.2333,326.9
ROTOS,Rotos,5.0,0.0,11.1,0.0,16.1
SIN_CLASIFICAR,Sin clasificar,4984.0,440.3666,0.0,1106.0,3878.0
DE_6,De 6,180.0,0.0,0.0,170.0,10.0
DE_12,De 12,350.0,-75.0,0.0,275.0,75.0
DE_20,De 20,82.0,-56.0001,0.0,26.0,56.0
