fecha,tipo_movimiento,bucket,display_name,producto_fuente,producto_sku,cantidad_planchas,detalle,detalle_original,origen
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,PLANCHAS 30 SUPER EMPAQUETADO,2.5,Pedido 7410 · ADRIANA SACCARELLO,Pedido 7410 · ADRIANA SACCARELLO,ERP Pedidos
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,PLANCHAS 30 SUPER EMPAQUETADO,2.0,Pedido 7411 · Rosa Brizuela de Candia,Pedido 7411 · Rosa Brizuela de Candia,ERP Pedidos
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,PLANCHAS 30 SUPER EMPAQUETADO,2.0,Pedido 7412 · Angelo Palacios,Pedido 7412 · Angelo Palacios,ERP Pedidos
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,PLANCHAS 30 SUPER EMPAQUETADO,2.0,Pedido 7414 · Violeta Brozzon de molinas,Pedido 7414 · Violeta Brozzon de molinas,ERP Pedidos
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,PLANCHAS 30 SUPER EMPAQUETADO,1.0,Pedido 7415 · Maria selva dominguez,Pedido 7415 · Maria selva dominguez,ERP Pedidos
2026-05-11,salida,JUMBO,PLANCHAS 30 JUMBO,PLANCHAS 30 JUMBO,PLANCHAS 30 JUMBO,1.0,Pedido 7416 · Nilfa Torales,Pedido 7416 · Nilfa Torales,ERP Pedidos
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,PLANCHAS 30 SUPER EMPAQUETADO,1.0,Pedido 7416 · Nilfa Torales,Pedido 7416 · Nilfa Torales,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHAS 30 TIPO A GRANEL,PLANCHAS 30 TIPO A GRANEL,4.0,Pedido 7417 · LAURA MOREL,Pedido 7417 · LAURA MOREL,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHAS 30 TIPO A GRANEL,PLANCHAS 30 TIPO A GRANEL,1.0,Pedido 7419 · REPARTO,Pedido 7419 · INGE ADRIANA SOTOMAYOR DE CANESSA,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,1.0,Pedido 7420 · Silvio Vargas Thompson,Pedido 7420 · Silvio Vargas Thompson,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,1.0,Pedido 7421 · Sandra cabral,Pedido 7421 · Sandra cabral,ERP Pedidos
